"","Row.names","Genus","name","value","LibraryName","Group"
"84","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660215",0,"HC9_bacterial","HC"
"85","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660217",0,"HC8_bacterial","HC"
"86","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660218",0,"HC7_bacterial","HC"
"87","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660219",0,"HC6_bacterial","HC"
"88","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660220",0,"HC5_bacterial","HC"
"89","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660221",0,"HC4_bacterial","HC"
"90","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660222",0,"HC3_bacterial","HC"
"91","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660223",0,"HC2_bacterial","HC"
"92","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660224",0,"HC1_bacterial","HC"
"93","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660226",0,"MS21_bacterial","MS"
"94","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660227",0,"MS3_bacterial","MS"
"95","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660228",0,"MS20_bacterial","MS"
"96","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660229",0,"MS19_bacterial","MS"
"97","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660230",0,"MS18_bacterial","MS"
"98","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660231",0,"MS17_bacterial","MS"
"99","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660232",0,"MS16_bacterial","MS"
"100","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660233",0,"MS15_bacterial","MS"
"101","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660234",0,"MS14_bacterial","MS"
"102","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660235",0,"MS13_bacterial","MS"
"103","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660238",0,"MS12_bacterial","MS"
"104","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660249",0,"MS11_bacterial","MS"
"105","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660250",0,"MS2_bacterial","MS"
"106","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660251",0,"MS1_bacterial","MS"
"107","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660150",0,"MS10_bacterial","MS"
"108","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660161",18,"MS9_bacterial","MS"
"109","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660172",0,"MS8_bacterial","MS"
"110","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660183",12,"MS7_bacterial","MS"
"111","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660188",7,"HC34_bacterial","HC"
"112","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660189",7,"HC33_bacterial","HC"
